date,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比
2026-07-19,城商行Ⅲ,0.19,-546605792.0,-5.91
2026-07-19,航运港口,-0.37,-549248800.0,-5.5
2026-07-19,乘用车,-2.35,-549746928.0,-5.39
2026-07-19,其他化学制品,-4.38,-553807152.0,-4.42
2026-07-19,逆变器,-3.99,-574223760.0,-6.05
2026-07-19,铝,-3.88,-586310448.0,-3.79
2026-07-19,保险Ⅲ,-0.63,-590483216.0,-4.95
2026-07-19,保险Ⅱ,-0.63,-590483216.0,-4.95
2026-07-19,养殖业,-3.13,-596371696.0,-7.26
2026-07-19,营销代理,-4.87,-606985584.0,-4.15
2026-07-19,锂,-4.61,-613809200.0,-5.23
2026-07-19,线缆部件及其他,-3.87,-646557872.0,-6.01
2026-07-19,其他小金属,-4.86,-651041520.0,-5.49
2026-07-19,影视院线,-5.84,-658290976.0,-5.99
2026-07-19,广告营销,-4.64,-664924512.0,-4.26
2026-07-19,贵金属,-5.82,-666729264.0,-4.61
2026-07-19,社会服务,-3.46,-669005200.0,-6.4
2026-07-19,环保,-4.27,-683286320.0,-3.85
2026-07-19,煤炭开采,-1.95,-684350496.0,-5.81
2026-07-19,其他金属新材料,-6.37,-693282624.0,-9.4
2026-07-19,医疗设备,-5.98,-720448416.0,-6.69
2026-07-19,煤炭,-2.14,-722475696.0,-5.73
2026-07-19,仪器仪表,-6.1,-723742208.0,-3.54
2026-07-19,门户网站,-4.05,-730206528.0,-10.44
2026-07-19,安防设备,-5.98,-746309936.0,-10.79
2026-07-19,轻工制造,-3.96,-764779088.0,-4.4
2026-07-19,通信终端及配件,-4.39,-774775232.0,-5.08
2026-07-19,其他自动化设备,-6.97,-800315472.0,-9.25
2026-07-19,LED,-5.94,-802986400.0,-7.74
2026-07-19,航天装备Ⅱ,-4.33,-813684752.0,-7.76
2026-07-19,航天装备Ⅲ,-4.33,-813684752.0,-7.76
2026-07-19,其他电源设备Ⅲ,-6.6,-814483744.0,-5.78
2026-07-19,股份制银行Ⅲ,0.17,-828532544.0,-6.94
2026-07-19,工控设备,-4.35,-839010000.0,-7.27
2026-07-19,钨,-7.67,-872926304.0,-10.0
2026-07-19,医疗器械,-5.42,-880468048.0,-3.24
2026-07-19,底盘与发动机系统,-4.35,-915749264.0,-3.56
2026-07-19,家电零部件Ⅱ,-5.13,-930911024.0,-9.0
2026-07-19,家电零部件Ⅲ,-5.13,-930911024.0,-9.0
2026-07-19,建筑装饰,-3.98,-954162224.0,-3.23
2026-07-19,能源金属,-4.52,-955666544.0,-6.53
2026-07-19,电池化学品,-4.13,-956563024.0,-4.29
2026-07-19,数字媒体,-5.01,-964269264.0,-8.9
2026-07-19,农林牧渔,-2.94,-981610400.0,-5.19
2026-07-19,横向通用软件,-4.87,-982923568.0,-6.06
2026-07-19,塑料,-4.9,-991384048.0,-4.32
2026-07-19,游戏Ⅲ,-5.24,-995902176.0,-6.09
2026-07-19,游戏Ⅱ,-5.24,-995902176.0,-6.09
2026-07-19,化学制品,-3.95,-1009503616.0,-2.12
2026-07-19,玻纤制造,-7.15,-1032530016.0,-5.19
2026-07-19,住宅开发,-3.74,-1044656336.0,-7.75
2026-07-19,玻璃玻纤,-4.11,-1062334880.0,-4.98
2026-07-19,其他电源设备Ⅱ,-5.74,-1096439184.0,-6.5
2026-07-19,银行,0.4,-1117158656.0,-2.79
2026-07-19,银行Ⅱ,0.4,-1117158656.0,-2.79
2026-07-19,电网设备,-3.18,-1118372384.0,-2.82
2026-07-19,其他生物制品,-8.05,-1166102720.0,-8.08
2026-07-19,金属新材料,-6.49,-1189056560.0,-8.91
2026-07-19,模拟芯片设计,-10.34,-1190765376.0,-5.27
2026-07-19,金属制品,-5.35,-1208851648.0,-5.27
2026-07-19,房地产开发,-3.34,-1268025648.0,-7.65
2026-07-19,房地产,-3.44,-1319249520.0,-7.45
2026-07-19,建筑材料,-3.5,-1328581872.0,-4.53
2026-07-19,航空装备Ⅱ,-4.26,-1334415424.0,-9.24
2026-07-19,航空装备Ⅲ,-4.26,-1334415424.0,-9.24
2026-07-19,交通运输,-1.4,-1341640048.0,-5.17
2026-07-19,面板,-5.2,-1349344768.0,-3.75
2026-07-19,电池,-4.73,-1357371392.0,-1.86
2026-07-19,机器人,-7.23,-1369652112.0,-9.73
2026-07-19,分立器件,-10.46,-1425827328.0,-4.13
2026-07-19,白酒Ⅱ,-2.71,-1442865296.0,-8.42
2026-07-19,白酒Ⅲ,-2.71,-1442865296.0,-8.42
2026-07-19,光伏设备,-4.02,-1465409408.0,-4.86
2026-07-19,中药Ⅱ,-4.77,-1569283088.0,-6.68
2026-07-19,中药Ⅲ,-4.77,-1569283088.0,-6.68
2026-07-19,垂直应用软件,-4.73,-1607653216.0,-4.25
2026-07-19,光学元件,-9.24,-1632668080.0,-9.21
2026-07-19,集成电路制造,-8.95,-1688784640.0,-4.4
2026-07-19,被动元件,-7.9,-1755407920.0,-7.02
2026-07-19,生物制品,-6.91,-1758320736.0,-8.95
2026-07-19,铜,-5.26,-1829886576.0,-7.71
2026-07-19,家用电器,-3.92,-1885519680.0,-7.0
2026-07-19,其他电子Ⅲ,-8.22,-1942375280.0,-8.47
2026-07-19,其他电子Ⅱ,-8.22,-1942375280.0,-8.47
2026-07-19,小金属,-5.02,-2120004304.0,-7.24
2026-07-19,激光设备,-8.76,-2124713856.0,-11.39
